Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
TXG,"10x Genomics, Inc.",86.77,$8.34B,2019,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/txg
YI,"111, Inc.",5.63,$464.19M,2018,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/yi
PIH,"1347 Property Insurance Holdings, Inc.",5.515,$33.64M,2014,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pih
PIHPP,"1347 Property Insurance Holdings, Inc.",27.3236,$19.13M,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pihpp
TURN,180 Degree Capital Corp.,2.2,$68.47M,n/a,Finance,Finance/Investors Services,https://old.nasdaq.com/symbol/turn
FLWS,"1-800-FLOWERS.COM, Inc.",16.56,$1.06B,1999,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/flws
BCOW,"1895 Bancorp of Wisconsin, Inc.",11.2838,$55.03M,2019,Finance,Banks,https://old.nasdaq.com/symbol/bcow
ONEM,"1Life Healthcare, Inc.",20.69,$2.53B,2020,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/onem
FCCY,1st Constitution Bancorp (NJ),20.86,$212.6M,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,48.08,$1.23B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",13.47,$1.51B,2011,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",24.98,$1.59B,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/twou
QFIN,"360 Finance, Inc.",8.87,$1.34B,2018,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/qfin
KRKR,36Kr Holdings Inc.,6.075,$227.78M,2019,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/krkr
JOBS,"51job, Inc.",79.6,$5.28B,2004,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/jobs
ETNB,"89bio, Inc.",31.05,$428.15M,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/etnb
JFK,8i Enterprises Acquisition Corp,10.1,$75.02M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfk
JFKKR,8i Enterprises Acquisition Corp,0.423,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkr
JFKKU,8i Enterprises Acquisition Corp,10.965,$54.83M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/jfkku
